season,GAME_ID,home_abbr,away_abbr,home_win,home_b2b,away_b2b,home_rest_days,away_rest_days,rest_diff,diff_recent_margin,diff_recent_win_pct,diff_pts_pg_to_date,split_win_pct_delta,season_start_year,split,Game_Type,HCA_context,HCA_total,theta_game,pred_prob_home_win,pred_label
2024-25,42400407,OKC,IND,1,0.0,0,2.0,2.0,0.0,1.6,0.0999999999999999,9.266329966329977,0.3120129870129871,2024,valid,playoff,-0.02199774475970023,0.43332227014165403,1.5423732014454168,0.7799607841791291,1
2024-25,42400406,IND,OKC,1,0.0,0,2.0,2.0,0.0,-7.1,-0.1999999999999999,-9.665780673926092,-0.0431785195936139,2024,valid,playoff,-0.02199774475970023,0.38676571591991094,1.4722115351406413,0.3621486795190584,0
2024-25,42400405,OKC,IND,1,0.0,0,2.0,2.0,0.0,7.8,0.0999999999999999,9.54926624737945,0.2993265993265992,2024,valid,playoff,-0.02199774475970023,0.43332227014165403,1.5423732014454168,0.8004932925977273,1
2024-25,42400404,IND,OKC,0,0.0,0,1.0,1.0,0.0,-4.300000000000001,0.0999999999999999,-9.506008010680915,-0.0245098039215686,2024,valid,playoff,-0.06120449152168263,0.34755896915792855,1.4156077853525013,0.37739672276934527,0
2024-25,42400403,IND,OKC,1,0.0,0,2.0,2.0,0.0,-4.8,0.0,-9.766690856313488,-0.0447058823529411,2024,valid,playoff,-0.02199774475970023,0.38676571591991094,1.4722115351406413,0.3766133943654299,0
2024-25,42400402,OKC,IND,1,0.0,0,2.0,2.0,0.0,4.300000000000001,0.0,9.55154877484975,0.2861635220125786,2024,valid,playoff,-0.02199774475970023,0.43332227014165403,1.5423732014454168,0.7879012427269267,1
2024-25,42400401,OKC,IND,0,0.0,0,5.0,4.0,1.0,3.5000000000000004,0.0,9.662330316742086,0.3105950653120465,2024,valid,playoff,0.08530489824352554,0.5406249131448798,1.7170795525639924,0.8047622825118078,1
2024-25,42400306,IND,NYK,1,0.0,0,1.0,1.0,0.0,0.5000000000000001,0.1999999999999999,-1.3149276466108262,0.1064425770308123,2024,valid,playoff,-0.06120449152168263,0.34755896915792855,1.4156077853525013,0.6427347226220831,1
2024-25,42400305,NYK,IND,1,0.0,0,1.0,1.0,0.0,-3.7,-0.3,0.9919417475728096,0.0855957767722472,2024,valid,playoff,-0.06120449152168263,0.1847593853900329,1.2029289630196263,0.4645290690597336,0
2024-25,42400315,OKC,MIN,1,0.0,0,1.0,1.0,0.0,2.5,0.0999999999999999,7.157454580409507,0.277526395173454,2024,valid,playoff,-0.06120449152168263,0.39411552337967165,1.4830718682533708,0.7834363693805508,1
2024-25,42400304,IND,NYK,1,0.0,0,1.0,1.0,0.0,4.199999999999999,0.2,-1.1800356506238785,0.0883333333333333,2024,valid,playoff,-0.06120449152168263,0.34755896915792855,1.4156077853525013,0.6587008953708203,1
2024-25,42400314,MIN,OKC,0,0.0,0,1.0,1.0,0.0,-1.5999999999999996,0.0999999999999999,-7.187058823529398,-0.1273469387755101,2024,valid,playoff,-0.06120449152168263,0.266154036375696,1.3049360508262644,0.35756595141155645,0
2024-25,42400303,IND,NYK,0,0.0,0,1.0,1.0,0.0,4.1,0.3,-1.0703172358052058,0.1111593573599653,2024,valid,playoff,-0.06120449152168263,0.34755896915792855,1.4156077853525013,0.6638366871115734,1
2024-25,42400313,MIN,OKC,1,0.0,0,1.0,1.0,0.0,-9.0,0.0,-8.097309730973095,-0.1505102040816326,2024,valid,playoff,-0.06120449152168263,0.266154036375696,1.3049360508262644,0.3121378936929476,0
2024-25,42400302,NYK,IND,0,0.0,0,1.0,1.0,0.0,-3.8,-0.2,1.1817525773195712,0.1070588235294117,2024,valid,playoff,-0.06120449152168263,0.1847593853900329,1.2029289630196263,0.4714502535691925,0
2024-25,42400312,OKC,MIN,1,0.0,0,1.0,1.0,0.0,7.500000000000001,0.0,7.874285714285705,0.2631372549019608,2024,valid,playoff,-0.06120449152168263,0.39411552337967165,1.4830718682533708,0.8024603877786066,1
2024-25,42400301,NYK,IND,0,0.0,0,4.0,5.0,-1.0,-4.9,-0.1,1.2544191919192116,0.1293877551020408,2024,valid,playoff,0.06673334604698601,0.3126972229587015,1.367107539581244,0.5041798915087923,1
2024-25,42400311,OKC,MIN,1,0.0,0,1.0,5.0,-4.0,2.0,-0.1,7.422159741747365,0.2481632653061224,2024,valid,playoff,-0.01993410239079688,0.43538591251055736,1.5455593945834263,0.7861888046517764,1
2024-25,42400227,OKC,DEN,1,0.0,0,2.0,2.0,0.0,11.1,0.0999999999999999,10.076530612244897,0.296734693877551,2024,valid,playoff,-0.02199774475970023,0.43332227014165403,1.5423732014454168,0.8065339883532826,1
2024-25,42400216,NYK,BOS,1,0.0,0,1.0,1.0,0.0,-13.7,0.0,-6.067115505996213,-0.1177721088435375,2024,valid,playoff,-0.06120449152168263,0.1847593853900329,1.2029289630196263,0.28068454556461964,0
2024-25,42400226,DEN,OKC,1,0.0,0,1.0,1.0,0.0,-18.4,-0.3,-10.425804436113708,-0.1794217687074829,2024,valid,playoff,-0.06120449152168263,0.43628335518409517,1.5469470681242024,0.3222085009240311,0
2024-25,42400215,BOS,NYK,1,0.0,0,1.0,1.0,0.0,8.299999999999999,-0.0999999999999999,5.612542955326461,0.0625,2024,valid,playoff,-0.06120449152168263,0.11914129154434626,1.1265290760771731,0.7454684744866951,1
2024-25,42400235,MIN,GSW,1,0.0,0,1.0,1.0,0.0,10.6,0.4,1.49166666666666,0.0170212765957447,2024,valid,playoff,-0.06120449152168263,0.266154036375696,1.3049360508262644,0.4783163333599202,0
2024-25,42400225,OKC,DEN,1,0.0,0,1.0,1.0,0.0,20.7,0.3,10.390518707482997,0.2823129251700681,2024,valid,playoff,-0.06120449152168263,0.39411552337967165,1.4830718682533708,0.832291057083552,1
2024-25,42400205,CLE,IND,0,0.0,0,1.0,1.0,0.0,5.799999999999999,-0.2,6.633370660694283,0.2451241134751772,2024,valid,playoff,-0.06120449152168263,0.39102454120094665,1.4784947970058357,0.754553710717497,1
2024-25,42400214,NYK,BOS,1,0.0,0,1.0,1.0,0.0,-12.7,0.0,-5.839583333333337,-0.1414007092198581,2024,valid,playoff,-0.06120449152168263,0.1847593853900329,1.2029289630196263,0.28643728525725354,0
2024-25,42400234,GSW,MIN,0,0.0,0,1.0,1.0,0.0,-10.8,-0.3,-1.3644869750132784,0.0289115646258503,2024,valid,playoff,-0.06120449152168263,0.2831641724497775,1.3273230538081267,0.654012018784484,1
2024-25,42400204,IND,CLE,1,0.0,0,1.0,1.0,0.0,-11.0,0.0999999999999999,-7.1328071379547,0.0,2024,valid,playoff,-0.06120449152168263,0.34755896915792855,1.4156077853525013,0.3752445424825257,0
2024-25,42400224,DEN,OKC,0,0.0,0,1.0,1.0,0.0,-20.8,-0.2,-10.396201844818236,-0.1622340425531915,2024,valid,playoff,-0.06120449152168263,0.43628335518409517,1.5469470681242024,0.3172048183278108,0
2024-25,42400233,GSW,MIN,0,0.0,0,1.0,1.0,0.0,-10.9,-0.2,-1.276378636561006,0.0505319148936169,2024,valid,playoff,-0.06120449152168263,0.2831641724497775,1.3273230538081267,0.6588342734198214,1
2024-25,42400213,NYK,BOS,0,0.0,0,2.0,2.0,0.0,-6.9,0.0999999999999999,-5.43650615901457,-0.1230342275670676,2024,valid,playoff,-0.02199774475970023,0.22396613215201527,1.251028649062759,0.325190958532256,0
2024-25,42400223,DEN,OKC,1,0.0,0,1.0,1.0,0.0,-22.7,-0.3,-10.696808510638292,-0.1873265494912118,2024,valid,playoff,-0.06120449152168263,0.43628335518409517,1.5469470681242024,0.30220784776787896,0
2024-25,42400203,IND,CLE,0,0.0,0,2.0,2.0,0.0,-8.6,0.2,-6.734922861150082,0.0222222222222221,2024,valid,playoff,-0.02199774475970023,0.38676571591991094,1.4722115351406413,0.4046856089132914,0
2024-25,42400232,MIN,GSW,1,0.0,0,1.0,1.0,0.0,5.9,0.0999999999999999,0.7862764660237218,-0.0035492457852706,2024,valid,playoff,-0.06120449152168263,0.266154036375696,1.3049360508262644,0.43552761655114636,0
2024-25,42400222,OKC,DEN,1,0.0,0,1.0,1.0,0.0,10.6,0.1,9.897340124504808,0.2672872340425531,2024,valid,playoff,-0.06120449152168263,0.39411552337967165,1.4830718682533708,0.7964144611242097,1
2024-25,42400212,BOS,NYK,0,0.0,0,1.0,1.0,0.0,8.2,0.0999999999999999,5.516815374056279,0.0851063829787234,2024,valid,playoff,-0.06120449152168263,0.11914129154434626,1.1265290760771731,0.7500389001996421,1
2024-25,42400202,CLE,IND,0,0.0,0,1.0,1.0,0.0,7.5,-0.2,6.8311036789297646,0.2719703977798335,2024,valid,playoff,-0.06120449152168263,0.39102454120094665,1.4784947970058357,0.7629869941224992,1
2024-25,42400231,MIN,GSW,0,0.0,0,5.0,1.0,4.0,6.9,0.2,1.0307971014492807,0.0180555555555556,2024,valid,playoff,0.054352106395361206,0.3817106342927398,1.4647881643386875,0.4766798754992433,0
2024-25,42400221,OKC,DEN,0,0.0,0,5.0,1.0,4.0,8.8,0.1,10.048566142460672,0.2946345975948196,2024,valid,playoff,0.054352106395361206,0.5096721212967155,1.664745270931616,0.8118207635659627,1
2024-25,42400211,BOS,NYK,0,0.0,0,5.0,3.0,2.0,12.4,0.3,5.6421224871435385,0.1086956521739129,2024,valid,playoff,0.07498730096080408,0.25533308402683297,1.2908915246191046,0.7938385621239314,1
2024-25,42400201,CLE,IND,0,0.0,0,5.0,4.0,1.0,8.9,-0.1,7.106227106227109,0.3,2024,valid,playoff,0.08530489824352554,0.5375339309661548,1.7117802844583765,0.798333847625773,1
2024-25,42400157,HOU,GSW,0,0.0,0,1.0,1.0,0.0,-3.9,-0.0999999999999999,0.7778032036613212,0.1216466234967622,2024,valid,playoff,-0.06120449152168263,0.3435438347471575,1.4099353252867979,0.5026509441848293,1
2024-25,42400177,DEN,LAC,1,0.0,0,1.0,1.0,0.0,-4.8,-0.0999999999999999,-2.290322580645153,0.1314229249011858,2024,valid,playoff,-0.06120449152168263,0.43628335518409517,1.5469470681242024,0.4481986567802316,0
2024-25,42400156,GSW,HOU,0,0.0,0,1.0,1.0,0.0,7.899999999999999,0.1999999999999999,-0.614683189151279,0.1049645390070922,2024,valid,playoff,-0.06120449152168263,0.2831641724497775,1.3273230538081267,0.6723445663395977,1
2024-25,42400176,LAC,DEN,1,0.0,0,1.0,1.0,0.0,8.1,0.0999999999999999,2.184782608695656,0.1639492753623188,2024,valid,playoff,-0.06120449152168263,-0.0024663308671498407,0.997536708028003,0.6706442798347813,1
2024-25,42400126,DET,NYK,0,0.0,0,1.0,1.0,0.0,-3.5,-0.2,-2.0,-0.0782608695652173,2024,valid,playoff,-0.06120449152168263,0.4585234526458942,1.5817367506864322,0.5396168835246133,1
2024-25,42400155,HOU,GSW,1,0.0,0,1.0,1.0,0.0,-6.1,-0.1999999999999999,0.294982078853053,0.102415458937198,2024,valid,playoff,-0.06120449152168263,0.3435438347471575,1.4099353252867979,0.4811468692364548,0
2024-25,42400165,LAL,MIN,0,0.0,0,2.0,2.0,0.0,-7.7,-0.3,-5.075728619206885,0.1304347826086956,2024,valid,playoff,-0.02199774475970023,0.11694405729554586,1.124056545168492,0.46457920716187845,0
2024-25,42400115,BOS,ORL,1,0.0,0,1.0,1.0,0.0,7.899999999999999,0.2,9.650183150183151,0.2888888888888889,2024,valid,playoff,-0.06120449152168263,0.11914129154434626,1.1265290760771731,0.7822873190525936,1
2024-25,42400175,DEN,LAC,1,0.0,0,2.0,2.0,0.0,-14.3,-0.3,-2.560439560439548,0.1116279069767441,2024,valid,playoff,-0.02199774475970023,0.47549010194607755,1.6088024815272834,0.4054514716576842,0
