GROUP_SET,GROUP_VALUE,SEASON_YEAR,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,TEAM_ID,TEAM_ABBREVIATION,SEASON
Overall,2023-24,2023-24,82,51,31,0.622,3941.0,3473,7108,0.489,1036,2719,0.381,1499,1817,0.825,822,2701,3523,2097,1078.0,640,413,384,1519,1537,9481,269.0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1610612746,LAC,2023-24
Overall,2023,2023,7,3,4,0.429,280.0,236,531,0.444,72,194,0.371,104,148,0.703,70,205,275,131,99.0,50,43,36,132,137,648,-37.0,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,1610612747,LAL,2023-24
Overall,2023-24,2023-24,82,47,35,0.573,3971.0,3580,7177,0.499,969,2572,0.377,1550,1983,0.782,676,2859,3535,2340,1146.0,605,453,390,1283,1619,9679,49.0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1610612747,LAL,2023-24
Overall,2023,2023,7,4,3,0.571,280.0,221,493,0.448,75,206,0.364,118,151,0.781,66,161,227,146,106.0,65,18,32,143,144,635,27.0,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,1610612748,MIA,2023-24
Overall,2023-24,2023-24,82,46,36,0.561,3951.0,3266,7022,0.465,1022,2765,0.37,1478,1806,0.818,766,2702,3468,2116,1038.0,617,280,388,1415,1550,9032,144.0,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1610612748,MIA,2023-24
Overall,2023,2023,5,2,3,0.4,200.0,150,337,0.445,32,129,0.248,71,109,0.651,60,138,198,82,107.0,40,19,20,137,104,403,-32.0,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,1610612749,MIL,2023-24
Overall,2023-24,2023-24,82,49,33,0.598,3961.0,3538,7258,0.487,1163,3122,0.373,1517,1960,0.774,772,2850,3622,2176,1059.0,558,413,347,1574,1576,9756,215.0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1610612749,MIL,2023-24
Overall,2023,2023,5,1,4,0.2,200.0,164,373,0.44,33,123,0.268,102,134,0.761,51,117,168,102,84.0,40,32,31,101,130,463,-34.0,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,1610612750,MIN,2023-24
Overall,2023-24,2023-24,82,56,26,0.683,3961.0,3383,6974,0.485,1037,2681,0.387,1461,1881,0.777,770,2807,3577,2184,1162.0,647,497,371,1544,1630,9264,529.0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1610612750,MIN,2023-24
Overall,2023,2023,5,3,2,0.6,205.516667,164,404,0.406,60,174,0.345,97,130,0.746,58,150,208,93,68.0,48,25,39,121,113,485,37.0,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,1,1610612751,BKN,2023-24
Overall,2023-24,2023-24,82,32,50,0.39,3961.0,3334,7307,0.456,1089,3010,0.362,1293,1711,0.756,938,2675,3613,2102,1076.0,556,424,409,1516,1496,9050,-237.0,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,2,1610612751,BKN,2023-24
Overall,2023,2023,5,2,3,0.4,201.666667,172,404,0.426,42,147,0.286,60,89,0.674,68,133,201,102,78.0,43,33,33,101,89,446,-20.0,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,1610612752,NYK,2023-24
Overall,2023-24,2023-24,82,50,32,0.61,3946.0,3385,7272,0.465,1083,2936,0.369,1396,1789,0.78,1039,2665,3704,1998,1085.0,612,336,431,1447,1565,9249,376.0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1610612752,NYK,2023-24
Overall,2023,2023,5,0,5,0.0,201.666667,144,384,0.375,44,167,0.263,59,83,0.711,52,139,191,82,83.0,51,31,32,83,85,391,-70.0,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,1610612753,ORL,2023-24
Overall,2023-24,2023-24,82,47,35,0.573,3956.0,3318,6964,0.476,903,2568,0.352,1519,2002,0.759,861,2608,3469,2023,1206.0,669,423,379,1618,1710,9058,166.0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1610612753,ORL,2023-24
Overall,2023,2023,5,2,3,0.4,200.0,171,407,0.42,44,158,0.278,76,105,0.724,57,149,206,90,70.0,31,29,26,103,91,462,-16.0,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,1610612754,IND,2023-24
Overall,2023-24,2023-24,82,47,35,0.573,3941.0,3855,7599,0.507,1082,2891,0.374,1318,1685,0.782,827,2578,3405,2522,1059.0,631,481,440,1756,1501,10110,250.0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1610612754,IND,2023-24
Overall,2023,2023,8,3,5,0.375,320.0,277,602,0.46,84,240,0.35,168,231,0.727,73,198,271,154,105.0,59,58,41,163,195,806,-9.0,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,1610612755,PHI,2023-24
Overall,2023-24,2023-24,82,47,35,0.573,3956.0,3404,7331,0.464,992,2733,0.363,1597,1934,0.826,906,2616,3522,2041,984.0,694,492,503,1668,1519,9397,250.0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1610612755,PHI,2023-24
Overall,2023,2023,5,2,3,0.4,200.0,152,361,0.421,43,148,0.291,61,87,0.701,55,118,173,81,74.0,51,13,22,114,89,408,4.0,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,1610612756,PHX,2023-24
Overall,2023-24,2023-24,82,49,33,0.598,3956.0,3482,7063,0.493,1020,2671,0.382,1548,1915,0.808,831,2783,3614,2218,1221.0,610,492,372,1475,1612,9532,251.0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1610612756,PHX,2023-24
Overall,2023,2023,5,3,2,0.6,200.0,159,379,0.42,45,126,0.357,84,124,0.677,64,153,217,89,86.0,40,31,39,100,108,447,-1.0,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,1,2,2,1,1610612757,POR,2023-24
Overall,2023-24,2023-24,82,21,61,0.256,3976.0,3227,7356,0.439,939,2723,0.345,1329,1680,0.791,1036,2469,3505,1894,1249.0,627,354,528,1654,1467,8722,-740.0,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,2,1,1,2,1610612757,POR,2023-24
Overall,2023,2023,7,5,2,0.714,280.0,216,475,0.455,83,233,0.356,114,146,0.781,60,178,238,126,121.0,62,39,22,150,152,629,25.0,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,1,2,2,2,1610612758,SAC,2023-24
Overall,2023-24,2023-24,82,46,36,0.561,3971.0,3553,7455,0.477,1178,3219,0.366,1274,1710,0.745,888,2719,3607,2324,1078.0,625,342,370,1632,1504,9558,143.0,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1610612758,SAC,2023-24
Overall,2023,2023,7,5,2,0.714,280.0,225,555,0.405,59,188,0.314,119,176,0.676,91,231,322,132,105.0,45,38,49,160,163,628,41.0,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,1,1610612759,SAS,2023-24
Overall,2023-24,2023-24,82,22,60,0.268,3966.0,3438,7436,0.462,1036,2983,0.347,1280,1637,0.782,849,2778,3627,2449,1242.0,584,520,380,1414,1470,9192,-532.0,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,2,1610612759,SAS,2023-24
Overall,2023,2023,8,4,4,0.5,320.0,274,595,0.461,89,267,0.333,108,149,0.725,70,236,306,156,135.0,69,39,39,150,175,745,0.0,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,1610612760,OKC,2023-24
Overall,2023-24,2023-24,82,57,25,0.695,3961.0,3653,7324,0.499,1090,2805,0.389,1451,1759,0.825,722,2725,3447,2223,1039.0,694,538,419,1545,1548,9847,608.0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1610612760,OKC,2023-24
Overall,2023,2023,5,1,4,0.2,202.166667,147,371,0.396,36,147,0.245,112,150,0.747,54,144,198,98,88.0,41,34,31,122,138,442,-34.0,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,1,1610612761,TOR,2023-24
Overall,2023-24,2023-24,82,25,57,0.305,3961.0,3466,7356,0.471,942,2712,0.347,1339,1772,0.756,891,2607,3498,2335,1147.0,634,388,474,1509,1487,9213,-528.0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,2,1610612761,TOR,2023-24
Overall,2023,2023,8,5,3,0.625,320.0,284,633,0.449,111,321,0.346,105,138,0.761,90,255,345,191,132.0,48,33,40,163,141,784,8.0,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,1,1610612762,UTA,2023-24
Overall,2023-24,2023-24,82,31,51,0.378,3961.0,3443,7371,0.467,1060,2993,0.354,1538,1853,0.83,1002,2725,3727,2232,1285.0,537,458,528,1523,1577,9484,-401.0,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,2,1610612762,UTA,2023-24
Overall,2023,2023,8,4,4,0.5,320.0,235,585,0.402,101,301,0.336,117,159,0.736,77,231,308,161,126.0,62,37,38,145,154,688,-22.0,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,1,1610612763,MEM,2023-24
Overall,2023-24,2023-24,82,27,55,0.329,3956.0,3145,7229,0.435,1071,3097,0.346,1316,1722,0.764,896,2598,3494,2025,1236.0,673,501,535,1563,1539,8677,-574.0,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,2,1610612763,MEM,2023-24
Overall,2023,2023,5,2,3,0.4,200.0,165,385,0.429,36,120,0.3,95,130,0.731,52,147,199,94,70.0,38,36,31,104,120,461,-3.0,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,1,1610612764,WAS,2023-24
Overall,2023-24,2023-24,82,15,67,0.183,3946.0,3523,7493,0.47,1015,2915,0.348,1266,1657,0.764,755,2613,3368,2290,1147.0,623,415,496,1637,1473,9327,-762.0,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,2,1610612764,WAS,2023-24
Overall,2023,2023,5,4,1,0.8,200.0,176,384,0.458,50,158,0.316,61,95,0.642,52,156,208,97,81.0,48,24,22,122,94,463,24.0,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,1,1610612765,DET,2023-24
Overall,2023-24,2023-24,82,14,68,0.171,3951.0,3353,7236,0.463,906,2602,0.348,1398,1780,0.785,861,2692,3553,2088,1248.0,531,384,490,1688,1457,9010,-747.0,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,2,1610612765,DET,2023-24
Overall,2023,2023,7,1,6,0.143,280.0,209,513,0.407,58,191,0.304,112,157,0.713,78,195,273,111,113.0,46,44,44,155,149,588,-53.0,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,1,1610612766,CHA,2023-24
Overall,2023-24,2023-24,82,21,61,0.256,3946.0,3281,7133,0.46,989,2788,0.355,1189,1512,0.786,765,2538,3303,2033,1129.0,562,371,396,1472,1432,8740,-840.0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,2,1610612766,CHA,2023-24
