GROUP_SET,GROUP_VALUE,SEASON_YEAR,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,TEAM_ID,TEAM_ABBREVIATION,SEASON
Overall,2023-24,2023-24,82,36,46,0.439,3971.0,3529,7584,0.465,1125,3092,0.364,1520,1906,0.797,1024,2639,3663,2180,1110.0,615,369,461,1522,1594,9703,-179.0,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,2,1610612737,ATL,2023-24
Overall,2023,2023,5,2,3,0.4,200.0,169,380,0.445,50,151,0.331,76,102,0.745,56,160,216,110,91.0,37,32,27,87,88,464,-2.0,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,1610612738,BOS,2023-24
Overall,2023-24,2023-24,82,64,18,0.78,3966.0,3601,7396,0.487,1351,3482,0.388,1334,1654,0.807,876,2923,3799,2207,979.0,557,538,304,1326,1416,9887,930.0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1610612738,BOS,2023-24
Overall,2023,2023,6,6,0,1.0,243.35,210,453,0.464,66,178,0.371,102,133,0.767,65,203,268,129,87.0,34,47,27,112,122,588,78.0,2,2,1,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1,2,2,1,1,2,2,2,1610612739,CLE,2023-24
Overall,2023-24,2023-24,82,48,34,0.585,3961.0,3425,7147,0.479,1108,3016,0.367,1278,1671,0.765,807,2742,3549,2299,1112.0,605,380,410,1436,1536,9236,198.0,1,1,2,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1610612739,CLE,2023-24
Overall,2023,2023,5,3,2,0.6,200.0,157,353,0.445,37,129,0.287,116,154,0.753,50,152,202,100,95.0,44,32,18,112,109,467,6.0,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,1610612740,NOP,2023-24
Overall,2023-24,2023-24,82,49,33,0.598,3941.0,3484,7165,0.486,1023,2673,0.383,1445,1873,0.771,852,2753,3605,2210,1067.0,684,378,424,1508,1507,9436,362.0,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1610612740,NOP,2023-24
Overall,2023,2023,5,3,2,0.6,200.0,159,373,0.426,55,158,0.348,70,104,0.673,70,139,209,96,82.0,36,32,31,111,101,443,11.0,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,1,1610612741,CHI,2023-24
Overall,2023-24,2023-24,82,39,43,0.476,3996.0,3448,7339,0.47,941,2630,0.358,1369,1731,0.791,916,2677,3593,2048,1004.0,638,394,404,1541,1538,9206,-118.0,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,2,1610612741,CHI,2023-24
Overall,2023,2023,5,4,1,0.8,203.616667,172,379,0.454,45,154,0.292,113,152,0.743,66,151,217,85,68.0,46,16,24,101,117,502,41.0,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,1610612742,DAL,2023-24
Overall,2023-24,2023-24,82,50,32,0.61,3941.0,3535,7352,0.481,1197,3242,0.369,1397,1842,0.758,797,2724,3521,2106,1027.0,563,406,331,1500,1667,9664,181.0,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1610612742,DAL,2023-24
Overall,2023,2023,5,2,3,0.4,200.0,161,352,0.457,60,171,0.351,88,110,0.8,36,144,180,100,65.0,39,23,20,81,102,470,17.0,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,1,2,2,2,1610612743,DEN,2023-24
Overall,2023-24,2023-24,82,57,25,0.695,3941.0,3610,7279,0.496,958,2560,0.374,1240,1628,0.762,881,2762,3643,2415,1036.0,585,456,394,1489,1467,9418,431.0,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1610612743,DEN,2023-24
Overall,2023,2023,7,1,6,0.143,283.616667,229,526,0.435,77,234,0.329,137,183,0.749,82,203,285,156,134.0,46,18,36,188,183,672,-32.0,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,1610612744,GSW,2023-24
Overall,2023-24,2023-24,82,46,36,0.561,3966.0,3582,7515,0.477,1211,3191,0.38,1282,1644,0.78,996,2834,3830,2402,1174.0,572,377,407,1598,1471,9657,214.0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1610612744,GSW,2023-24
Overall,2023,2023,6,5,1,0.833,240.0,222,487,0.456,87,241,0.361,98,126,0.778,55,168,223,122,76.0,54,32,29,118,124,629,36.0,2,2,1,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1,2,2,1,1,2,2,2,1610612745,HOU,2023-24
Overall,2023-24,2023-24,82,41,41,0.5,3971.0,3425,7459,0.459,1043,2964,0.352,1482,1916,0.773,940,2787,3727,2035,1045.0,639,375,482,1702,1609,9375,92.0,1,1,2,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1610612745,HOU,2023-24
Overall,2023,2023,5,3,2,0.6,200.0,176,387,0.455,58,168,0.345,57,80,0.713,47,137,184,125,67.0,50,27,30,104,78,467,23.0,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,1610612746,LAC,2023-24
