season,GAME_ID,home_abbr,away_abbr,home_win,home_b2b,away_b2b,home_rest_days,away_rest_days,rest_diff,diff_recent_margin,diff_recent_win_pct,diff_pts_pg_to_date,split_win_pct_delta
2014-15,41400221,GSW,MEM,1,0.0,0,5.0,3.0,2.0,-2.5999999999999996,0.10000000000000009,6.874580067189257,0.42460684551341354
2014-15,41400201,ATL,WAS,0,0.0,0,1.0,5.0,-4.0,-1.9000000000000004,-0.19999999999999996,4.104367301231804,0.4042553191489362
2014-15,41400167,LAC,SAS,1,0.0,0,1.0,1.0,0.0,-0.2999999999999998,0.09999999999999998,-0.10383771929824093,0.15263605442176864
2014-15,41400106,BKN,ATL,0,0.0,0,1.0,1.0,0.0,-2.9,-0.09999999999999998,-7.376458476321204,-0.06382978723404265
2014-15,41400166,SAS,LAC,0,0.0,0,1.0,1.0,0.0,1.2000000000000002,0.0,0.2324748040313409,0.17391304347826086
2014-15,41400126,MIL,CHI,0,0.0,0,2.0,2.0,0.0,-5.800000000000001,-0.19999999999999996,-3.0428891377379585,0.0
2014-15,41400105,ATL,BKN,1,0.0,0,1.0,1.0,0.0,2.5999999999999996,0.0,7.239831697054697,0.4033816425120773
2014-15,41400175,MEM,POR,1,0.0,0,1.0,1.0,0.0,11.3,0.39999999999999997,-0.7761381834820327,0.3191489361702128
2014-15,41400155,HOU,DAL,1,0.0,0,1.0,1.0,0.0,5.3,0.19999999999999996,0.6702127659574444,0.23404255319148937
2014-15,41400165,LAC,SAS,0,0.0,0,1.0,1.0,0.0,-0.39999999999999947,0.10000000000000009,-0.14996568291009282,0.17686170212765961
2014-15,41400174,POR,MEM,1,0.0,0,1.0,1.0,0.0,-12.6,-0.49999999999999994,0.633590462833098,0.21207729468599035
2014-15,41400104,BKN,ATL,1,0.0,0,1.0,1.0,0.0,-10.0,-0.19999999999999996,-7.428093645484935,-0.08695652173913049
2014-15,41400125,CHI,MIL,0,0.0,0,1.0,1.0,0.0,7.2,0.29999999999999993,3.2036147334705873,0.2411347517730496
2014-15,41400134,WAS,TOR,1,0.0,0,1.0,1.0,0.0,4.5,0.29999999999999993,-2.1290322580645125,0.15217391304347827
2014-15,41400154,DAL,HOU,1,0.0,0,1.0,1.0,0.0,-9.100000000000001,-0.4,-0.9354838709677438,0.0
2014-15,41400114,BOS,CLE,0,0.0,0,2.0,2.0,0.0,-0.6000000000000001,-0.20000000000000007,-4.3412809724170245,-0.03481624758220503
2014-15,41400164,SAS,LAC,0,0.0,0,1.0,1.0,0.0,4.8,0.0,0.34677419354838435,0.20000000000000007
2014-15,41400103,BKN,ATL,1,0.0,0,2.0,2.0,0.0,-10.100000000000001,-0.19999999999999996,-7.686813186813197,-0.1111111111111111
2014-15,41400124,MIL,CHI,1,0.0,0,1.0,1.0,0.0,-7.3,-0.4,-3.2813230481533537,-0.022222222222222254
2014-15,41400173,POR,MEM,0,0.0,0,2.0,2.0,0.0,-9.8,-0.39999999999999997,0.7720974677496457,0.23939393939393938
2014-15,41400144,NOP,GSW,0,0.0,0,1.0,1.0,0.0,-8.5,-0.4,-8.933964469378225,-0.006938020351526353
2014-15,41400163,SAS,LAC,1,0.0,0,1.0,1.0,0.0,1.0,0.0,-0.2390109890109926,0.18181818181818177
2014-15,41400133,WAS,TOR,1,0.0,0,2.0,2.0,0.0,2.9999999999999996,0.19999999999999996,-2.3043478260869534,0.1333333333333333
2014-15,41400153,DAL,HOU,0,0.0,0,2.0,2.0,0.0,-8.7,-0.30000000000000004,-0.9021739130434838,0.022222222222222254
2014-15,41400143,NOP,GSW,0,0.0,0,2.0,2.0,0.0,-7.2,-0.30000000000000004,-8.943502150023875,0.01497584541062802
2014-15,41400123,MIL,CHI,0,0.0,0,2.0,2.0,0.0,-5.1,-0.19999999999999996,-3.1639990444338224,0.0
2014-15,41400113,BOS,CLE,0,0.0,0,1.0,1.0,0.0,2.2,-0.10000000000000009,-4.214166268514106,-0.013144590495449915
2014-15,41400172,MEM,POR,1,0.0,0,2.0,2.0,0.0,5.8,0.3,-1.1125763125763228,0.3043478260869566
2014-15,41400102,ATL,BKN,1,0.0,0,2.0,2.0,0.0,10.2,0.09999999999999998,7.660799001248449,0.3898989898989899
