season,GAME_ID,home_abbr,away_abbr,home_win,home_b2b,away_b2b,home_rest_days,away_rest_days,rest_diff,diff_recent_margin,diff_recent_win_pct,diff_pts_pg_to_date,split_win_pct_delta,season_start_year,split,Game_Type
2014-15,41400222,GSW,MEM,0,0.0,0,1.0,1.0,0.0,5.5,0.3,7.116008771929813,0.436613475177305,2014,train,playoff
2014-15,41400211,CLE,CHI,0,0.0,0,5.0,3.0,2.0,-10.9,0.0,1.274193548387089,0.2176418439716312,2014,train,playoff
2014-15,41400231,HOU,LAC,0,0.0,0,5.0,1.0,4.0,2.8,0.0,-1.4455778621812243,0.1750886524822695,2014,train,playoff
2014-15,41400221,GSW,MEM,1,0.0,0,5.0,3.0,2.0,-2.6,0.1,6.874580067189257,0.4246068455134135,2014,train,playoff
2014-15,41400201,ATL,WAS,0,0.0,0,1.0,5.0,-4.0,-1.9000000000000004,-0.1999999999999999,4.104367301231804,0.4042553191489362,2014,train,playoff
2014-15,41400167,LAC,SAS,1,0.0,0,1.0,1.0,0.0,-0.2999999999999998,0.0999999999999999,-0.1038377192982409,0.1526360544217686,2014,train,playoff
2014-15,41400106,BKN,ATL,0,0.0,0,1.0,1.0,0.0,-2.9,-0.0999999999999999,-7.376458476321204,-0.0638297872340426,2014,train,playoff
2014-15,41400166,SAS,LAC,0,0.0,0,1.0,1.0,0.0,1.2000000000000002,0.0,0.2324748040313409,0.1739130434782608,2014,train,playoff
2014-15,41400126,MIL,CHI,0,0.0,0,2.0,2.0,0.0,-5.800000000000001,-0.1999999999999999,-3.0428891377379585,0.0,2014,train,playoff
2014-15,41400105,ATL,BKN,1,0.0,0,1.0,1.0,0.0,2.6,0.0,7.239831697054697,0.4033816425120773,2014,train,playoff
2014-15,41400175,MEM,POR,1,0.0,0,1.0,1.0,0.0,11.3,0.3999999999999999,-0.7761381834820327,0.3191489361702128,2014,train,playoff
2014-15,41400155,HOU,DAL,1,0.0,0,1.0,1.0,0.0,5.3,0.1999999999999999,0.6702127659574444,0.2340425531914893,2014,train,playoff
2014-15,41400165,LAC,SAS,0,0.0,0,1.0,1.0,0.0,-0.3999999999999994,0.1,-0.1499656829100928,0.1768617021276596,2014,train,playoff
