season,GAME_ID,home_abbr,away_abbr,home_win,home_b2b,away_b2b,home_rest_days,away_rest_days,rest_diff,diff_recent_margin,diff_recent_win_pct,diff_pts_pg_to_date,split_win_pct_delta,season_start_year,split,Game_Type,HCA_context,HCA_total,theta_game,pred_prob_home_win,pred_label
2024-25,22400781,UTA,LAL,1,0,0,1,1,0,-23.9,-0.7,-6.180883243,-0.209549072,2024,valid,regular,-0.06118141194410579,0.017262046253387807,1.0174118963719467,0.27948898278628603,0
2024-25,22400780,DEN,POR,1,0,0,1,1,0,2.2,0.0,8.101402688,0.321428571,2024,valid,regular,-0.06118141194410579,0.08877073472938071,1.0928300796192147,0.6609199159053267,1
2024-25,22400779,HOU,PHX,1,0,1,2,0,2,1.1,0.0,6.32183908,0.24403183,2024,valid,regular,0.2286981389650076,0.2860723500436836,1.3311887633334811,0.7114595483560427,1
2024-25,22400782,DAL,GSW,1,0,0,1,1,0,-6.6,-0.1,0.0,0.016009852,2024,valid,regular,-0.06118141194410579,-0.25178877184651777,0.7774089313802868,0.3093297155662529,0
2024-25,22400772,BKN,PHI,1,0,1,1,0,1,-0.8,0.1,-2.531073446,-0.033333333,2024,valid,regular,0.1998428839171813,0.10244406033051956,1.107875325996803,0.5055666441043404,1
2024-25,22400773,NYK,ATL,1,1,0,0,1,-1,10.1,0.4,8.879310345,0.239919355,2024,valid,regular,-0.16168057942767247,-0.2639128454139418,0.7680404749894769,0.559030704085885,1
2024-25,22400776,MIN,MIL,0,0,0,1,1,0,17.0,0.4,2.745465358,0.137931034,2024,valid,regular,-0.06118141194410579,-0.08202667335527888,0.9212473856098107,0.5408054401721663,1
2024-25,22400771,WAS,IND,0,0,1,1,0,1,-10.4,-0.3,-14.17364532,-0.25862069,2024,valid,regular,0.1998428839171813,0.4422769933755188,1.556246750778485,0.30014016752648526,0
2024-25,22400777,NOP,SAC,0,0,0,1,1,0,-4.8,-0.3,-8.742610837,-0.114942529,2024,valid,regular,-0.06118141194410579,-0.056681689281986615,0.9448947916419972,0.29602853267358464,0
2024-25,22400775,CHI,DET,0,1,1,0,0,0,-15.4,-0.2,-4.881355932,-0.130144605,2024,valid,regular,0.09934371643361459,-0.16453423039151963,0.8482887191923758,0.3992281820199872,0
2024-25,22400774,TOR,CLE,0,1,0,0,1,-1,-13.0,-0.2,-14.1760333,-0.24403183,2024,valid,regular,-0.16168057942767247,-0.27682316631829784,0.7581885585311012,0.1862482624863651,0
