home_abbr,away_abbr,avg_HCA,avg_pred_prob_home_win,total_home_win,total_predicted_win,total_games,total_predicted_lose,pred_label
ATL,BKN,0.18547839354242873,0.4362033033516179,1,0,1,1,0
ATL,BOS,-0.05866709985208596,0.14427172777635117,0,0,1,1,0
ATL,CHA,0.03923188500000162,0.5320763986457322,2,1,2,1,1
ATL,CHI,0.009977174376920618,0.5042771371091522,1,1,2,1,1
ATL,CLE,0.03923188500000162,0.21849484615164128,1,0,1,1,0
ATL,DAL,0.32500983992466637,0.36500516267423483,0,0,1,1,0
ATL,DEN,0.296932022200016,0.5828286639424703,0,1,1,0,1
ATL,DET,0.053270793862326804,0.49199670069277773,0,1,2,1,0
ATL,GSW,0.09538752044930235,0.2930537341425335,1,0,1,1,0
ATL,HOU,0.19903303734792843,0.3156031603353211,0,0,1,1,0
ATL,IND,0.03923188500000162,0.40439374135743067,2,0,2,2,0
ATL,LAC,0.03923188500000162,0.34506375533765715,0,0,1,1,0
ATL,LAL,0.03923188500000162,0.6232030390880755,1,1,1,0,1
ATL,MEM,0.03923188500000162,0.29060011740227093,0,0,1,1,0
ATL,MIA,0.10185820835752735,0.41982026191329475,2,1,3,2,0
ATL,MIL,-0.004061734485404582,0.3827717235920773,1,0,2,2,0
ATL,MIN,0.03923188500000162,0.43922447682092775,1,0,1,1,0
ATL,NOP,0.296932022200016,0.775990780802531,1,1,1,0,1
ATL,NYK,0.058926666802964406,0.40098582925690995,1,0,2,2,0
ATL,OKC,0.03923188500000162,0.2080665992885847,0,0,1,1,0
ATL,ORL,0.11801101221185278,0.5355049526586769,1,1,2,1,1
ATL,PHI,0.11913246117396503,0.6585064136539214,2,2,2,0,1
ATL,PHX,0.12346533817395274,0.5126207510624954,1,1,1,0,1
ATL,POR,0.03923188500000162,0.5549744953082,0,1,1,0,1
ATL,SAC,0.05054363088127683,0.4700928399540581,0,0,1,1,0
ATL,SAS,0.03923188500000162,0.4377363664911052,0,0,1,1,0
ATL,TOR,-0.00971760742604217,0.5229065231988776,0,2,2,0,1
ATL,UTA,-0.05866709985208596,0.6912711897539008,1,1,1,0,1
ATL,WAS,0.004321301436283016,0.7124982934321908,1,2,2,0,1
BKN,ATL,-0.00971760742604217,0.35824000718800475,1,0,2,2,0
BKN,BOS,0.296932022200016,0.2520864569865773,0,0,2,2,0
BKN,CHA,0.182120862462334,0.5517675413634171,2,2,2,0,1
BKN,CHI,0.03923188500000162,0.5039523542970027,1,1,1,0,1
BKN,CLE,0.13770579401481556,0.21253454074740596,0,0,2,2,0
BKN,DAL,0.05054363088127683,0.4282101471723486,0,0,1,1,0
BKN,DEN,0.296932022200016,0.7129425044223859,0,1,1,0,1
BKN,DET,0.03923188500000162,0.5199104437365465,0,1,2,1,1
BKN,GSW,0.03923188500000162,0.17871858294313633,0,0,1,1,0
BKN,HOU,0.32500983992466637,0.28480509204083415,1,0,1,1,0
BKN,IND,0.16808195360000883,0.44975523758981034,1,1,2,1,0
BKN,LAC,0.03923188500000162,0.18020502167820943,0,0,1,1,0
BKN,LAL,0.03923188500000162,0.29329165130059726,1,0,1,1,0
BKN,MEM,-0.05866709985208596,0.42603369203795416,1,0,1,1,0
BKN,MIA,0.053270793862326804,0.29522160089108096,1,0,2,2,0
BKN,MIL,0.06730970272465198,0.5024616908923604,1,1,2,1,1
BKN,MIN,0.06730970272465199,0.27246363976330773,0,0,1,1,0
BKN,NOP,0.03923188500000162,0.5209350574402176,1,1,1,0,1
BKN,NYK,0.16808195360000883,0.3191293868340853,0,0,2,2,0
BKN,OKC,0.03923188500000162,0.16416543468678452,0,0,1,1,0
BKN,ORL,0.03923188500000162,0.3553022791856843,0,0,2,2,0
BKN,PHI,0.16808195360000883,0.4978992461394369,1,1,2,1,0
BKN,PHX,-0.05866709985208596,0.3125346120312278,0,0,1,1,0
BKN,POR,0.03923188500000162,0.4100750946781247,0,0,1,1,0
BKN,SAC,0.03923188500000162,0.25994627344145,0,0,1,1,0
BKN,SAS,-0.05866709985208596,0.3548499657272736,0,0,1,1,0
BKN,TOR,0.053270793862326804,0.3985369128716846,0,0,2,2,0
BKN,UTA,0.03923188500000162,0.5666122895711266,0,1,1,0,1
BKN,WAS,-0.05866709985208596,0.6395274957670504,0,1,1,0,1
BOS,ATL,0.0015941384552330233,0.7916867534064067,0,2,2,0,1
BOS,BKN,0.06458253974360201,0.8182173418715165,2,2,2,0,1
BOS,CHA,0.03923188500000162,0.88220887710149,2,2,2,0,1
